Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,217,87,340.603,218.578,0.611335333,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,218,90,338.716,218.106,0.648378576,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,219,93,337.93,216.691,0.539549298,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,220,96,336.672,215.433,0.593026887,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,221,99,335.414,214.646,0.49463039,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,222,102,333.999,212.759,0.786200003,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,223,105,332.584,209.929,1.054678729,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,224,108,326.137,204.739,2.758822394,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,225,111,322.205,203.167,1.411532186,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,226,114,322.991,203.953,0.370523953,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,227,117,324.25,204.897,0.524533338,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,228,120,324.407,204.425,0.165808792,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,229,123,324.878,204.268,0.165492531,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,196,0,363.038,197.925,,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,197,3,363.038,200.022,0.699,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,198,6,362.199,201.07,0.447489913,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,199,9,361.361,202.014,0.420763856,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,200,12,361.465,201.175,0.281807066,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,201,15,361.57,200.232,0.316275899,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,202,18,362.409,199.078,0.475585838,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,203,21,362.723,197.296,0.603150985,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,204,24,362.828,195.095,0.73450104,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,205,27,364.715,191.845,1.252697933,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,206,30,364.401,188.49,1.123220617,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,207,33,364.61,185.24,1.085571073,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,208,36,363.562,183.668,0.629769623,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,209,39,364.401,183.563,0.281848265,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,210,42,364.296,182.725,0.281517515,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,211,45,367.546,182.725,1.083333333,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,212,48,369.433,183.563,0.688235506,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,213,51,368.489,182.2,0.552660736,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,214,54,366.707,182.095,0.595030251,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,215,57,365.239,180.628,0.691786174,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,216,60,363.877,180.733,0.45534712,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,217,63,362.304,180.733,0.524333333,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,218,66,360.417,181.466,0.674788691,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,219,69,359.159,182.934,0.644428084,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,220,72,355.7,185.24,1.38573354,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,221,75,347.627,184.612,2.699129757,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,222,78,346.474,185.66,0.519370666,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,223,81,347.627,185.345,0.398418262,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,224,84,348.885,184.297,0.545778547,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,225,87,350.563,183.878,0.576507203,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,226,90,351.296,182.934,0.398389117,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,227,93,352.345,181.676,0.545991962,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,228,96,353.812,181.152,0.519258553,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,229,99,355.804,181.886,0.707642408,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,230,102,358.53,182.62,0.941029696,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,231,105,361.78,183.982,1.174617857,952,355.1,186.2,43.9,27.6,160
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,3,pdms_fn,232,108,370.271,186.394,2.942312488,952,355.1,186.2,43.9,27.6,160
