ID,Cell_Number,Treatment,X_0,Y_0,X,Y,Length
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,47.733,30.487,8.20860585
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,47.412,29.846,8.741557298
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,50.402,32.035,8.08874434
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,51.31,29.739,10.47228767
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,53.392,31.555,10.53460037
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,54.834,29.9,12.70795467
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,53.446,32.462,10.01864921
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,55.581,31.341,12.41019847
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,55.902,32.996,11.84410334
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,57.023,34.118,12.43051781
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,58.091,36.04,12.96590672
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,53.072,35.025,8.420290078
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,52.271,32.89,8.822493808
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,46.825,31.128,7.361405369
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,45.01,29.045,9.296509076
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,45.597,28.511,9.828627269
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,59.265,36.093,14.1143641
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,54.513,38.763,9.192922169
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,56.596,39.457,11.32163403
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,52.698,39.724,7.497597482
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,55.742,41.165,10.78948493
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,53.713,41.059,8.814160085
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,58.411,41.646,13.49328207
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,55.742,42.393,11.17447954
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,58.144,44.636,14.2789564
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,54.353,45.383,11.44878762
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,52.752,44.689,9.769682339
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,51.31,43.888,8.159969608
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,51.524,45.116,9.183356467
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,51.15,46.985,10.42485496
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,51.737,51.15,14.32648753
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,49.655,47.039,9.718427548
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,48.64,46.451,8.764092937
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,49.281,48.32,10.7373487
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,48.48,50.242,12.3156541
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,47.252,49.975,11.79662685
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,45.383,50.082,11.74611957
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,44.262,50.296,12.00759027
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,45.223,46.344,8.008714816
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,46.131,46.398,8.101693959
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,43.995,46.291,8.06624138
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,42.607,50.242,12.21341742
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,41.913,47.893,10.14948954
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,40.632,48.16,10.88954453
2013.09.06_hela_gfp-lgn_rap1_dmso-nocodazole-stlc_fix-pfa_dapi_gfp_phalloidin_tubulin_spe-60x__cell-2,2,rap1_stlc,45.33,38.336,37.161,49.228,13.615
